id,X,Y,M,V
2800,34.41952,-189.46086,13.846982,0.42549366
2801,41.71111,-356.14587,16.436867,0.33496565
2802,-70.31407,119.888504,88.8091,0.5689928
2803,-36.821026,42.853985,86.98152,0.5289888
2804,-194.7425,-155.9941,90.997086,0.63311905
2805,-144.28918,-35.954685,114.622856,0.5369467
2806,232.11427,292.3509,96.108215,0.8451466
2807,-125.38405,36.124554,34.923737,0.4801988
2808,176.75008,189.98987,98.13622,0.4290442
2809,76.047,716.1242,1.7960732,0.64909834
2810,721.3457,-171.255,-299.40942,0.27587885
2811,48.841175,-54.008205,82.48008,0.5025911
2812,-13.014001,47.86152,40.878387,0.34681672
2813,122.25359,9.072421,83.64879,0.44987673
2814,-394.76016,-395.2667,78.22339,0.3865165
2815,-107.744606,-1103.661,-316.24045,-0.11787897
2816,-13.934142,221.97635,66.274445,0.9649715
2817,-46.2366,-107.94113,12.829089,0.38524336
2818,-346.28586,71.48862,123.0807,0.736031
2819,71.22702,181.21046,-10.848216,0.21831506
2820,-476.6241,161.31247,67.74308,1.4894648
2821,41.31088,-17.236662,58.316776,0.43932408
2822,-70.26222,-62.730488,41.92631,0.42992944
2823,-423.96246,625.0283,183.44858,1.0430117
2824,317.79077,259.43045,226.76515,0.6308293
2825,-62.924454,-5.520609,73.99461,0.7222051
2826,229.82866,154.09805,78.962654,0.78097075
2827,-75.06085,66.652466,68.27394,0.69997495
2828,50.840862,253.48091,220.34062,0.59578365
2829,-148.76672,-88.2704,41.699413,0.47384888
2830,22.088518,-83.51644,105.528656,0.37936586
2831,182.3622,-159.20433,-125.18698,-0.041434348
2832,362.69925,8.631448,246.61629,0.39102167
2833,-49.34507,229.54129,74.1396,0.39964432
2834,3.3208032,-186.81274,245.57101,0.24012178
2835,-85.012054,34.783707,121.90352,0.6253788
2836,-70.89139,204.21448,127.92505,0.585298
2837,-76.2352,8.162778,59.814777,0.36890852
2838,-81.79102,64.49077,56.496094,0.54482895
2839,142.53976,-232.30382,23.330502,0.3457498
2840,-414.3527,280.40036,188.07262,0.8678941
2841,43.36179,33.961308,120.60742,0.39104146
2842,135.9962,166.63065,31.843044,1.02928
2843,-59.562977,25.663599,150.7131,0.6640269
2844,-121.45459,-121.148735,69.33387,0.6327378
2845,-7.9367146,39.27356,100.8624,0.5327367
2846,23.032513,-29.690014,104.88338,0.5354528
2847,-175.74886,132.51776,304.49155,0.81772846
2848,-429.38373,-174.66928,130.65508,0.3595304
2849,111.58456,45.058033,115.950645,0.53031915
2850,-27.459425,-72.771515,68.62878,0.43604082
2851,456.0776,-96.28847,-59.93967,0.3310346
2852,-32.712452,33.800503,70.580986,0.50895673
2853,48.473904,183.80162,222.9175,0.6221475
2854,-104.28504,-185.82729,409.98383,0.002686441
2855,-491.11807,-422.579,191.7029,0.642703
2856,-156.7998,-337.70145,57.64834,0.6316871
2857,-285.15067,-82.27372,101.888855,0.6567127
2858,-329.77676,-528.8404,-55.826347,-0.12199503
2859,-182.89256,-206.12706,163.48776,0.64368147
2860,-51.962925,-25.881916,98.641525,0.53363425
2861,463.8497,-252.3852,-79.16882,0.19856256
2862,-146.75026,-32.742207,137.05785,0.5158991
2863,-202.45552,-131.32025,4.4331455,0.78127617
2864,-96.83574,72.80374,39.572865,0.6765055
2865,101.111465,-327.60675,68.14239,0.7883062
2866,600.3058,-139.38391,97.57448,0.45786756
2867,101.90149,249.01251,178.6144,0.56813806
2868,20.435429,-13.855704,131.23341,0.7087864
2869,255.96735,-146.79024,101.776184,0.4805202
2870,82.67992,-123.236115,158.67415,0.37817663
2871,-6.187861,32.9184,87.287445,0.5776729
2872,31.837269,174.55966,81.579666,0.59346694
2873,27.045347,-388.63046,98.53526,0.8654031
2874,-14.00283,-58.75766,126.771484,0.63476104
2875,-161.50375,-134.04906,110.732765,0.091869295
2876,62.801594,-62.602386,118.137344,0.26868814
2877,30.357307,61.5817,84.84279,0.578489
2878,-8.214003,-109.63038,103.53462,0.43752044
2879,55.40215,10.311832,107.03816,0.47130007
2880,-133.8904,84.78397,167.34853,0.78825444
2881,-70.42488,-225.5505,136.98186,0.5288715
2882,-694.4993,-1094.567,197.37714,-0.020302832
2883,-230.16441,-189.79955,145.90775,0.15222257
2884,-86.41757,131.4403,72.69537,0.36412638
2885,115.06749,-89.62025,241.2529,0.704833
2886,181.33087,12.243688,89.461266,0.15748543
2887,-179.62646,-426.08368,22.88532,0.3317861
2888,-97.02602,32.95255,103.42311,0.6891567
2889,-76.446304,-53.94832,5.0167365,0.5167692
2890,-51.406208,-271.70422,83.868805,0.2614135
2891,91.25166,112.07402,92.92767,0.64192885
2892,292.62433,16.807007,109.52882,0.35674185
2893,-81.34152,-59.261745,98.104065,0.62831014
2894,249.78558,0.71184045,208.18794,0.38799185
2895,-247.67987,69.9194,75.94121,0.7986502
2896,107.949844,-47.289516,11.781342,0.3883223
2897,112.569595,20.990112,93.47292,0.64609236
2898,-39.17271,-50.079525,178.13496,0.42749065
2899,-102.54733,15.577455,53.873173,0.6134308
2900,-38.961933,244.69357,134.11002,0.7357208
2901,-169.56885,-177.13779,117.04555,0.4191441
2902,-524.44434,55.961758,283.95197,1.1161566
2903,-992.53033,-569.4211,23.057688,0.6416363
2904,531.56006,788.2295,169.2406,1.1376524
2905,-123.103424,-25.688662,98.788925,0.52079743
2906,-146.23093,-305.00235,216.86275,0.7778377
2907,-831.0442,165.57904,-168.90334,0.7682695
2908,-169.52832,-6.1737022,55.191853,0.43958014
2909,69254.19,408191.2,96605.164,280.5543
2910,449.89346,-163.26195,130.0255,0.10957903
2911,132.08617,109.28137,87.34296,0.33056396
2912,320.6427,291.4924,171.93373,0.73977727
2913,201.42383,72.04954,106.15815,0.2461552
2914,-76.46343,-17.793087,62.31622,0.5517879
2915,-27.459843,-10.308154,77.376305,0.50045377
2916,32.97084,15.188088,108.35794,0.71036476
2917,-0.7999688,-25.343163,52.55242,0.44387263
2918,576.5187,30.768772,329.67175,0.8650941
2919,54.929325,-94.4821,94.15321,0.39989132
2920,60.53802,62.904385,56.96765,0.58048993
2921,-0.54292125,43.120647,95.04054,0.4433213
2922,-5.321453,-8.178284,83.912865,0.53153175
2923,-95.25257,-43.838425,146.3483,0.6265554
2924,46.853527,97.13057,64.923485,0.49951762
2925,112.26297,26.9047,13.38711,0.36874074
2926,439.97366,-138.9786,-25.910156,0.64534277
2927,-87.75803,-75.71813,182.26485,0.46982378
2928,57.15113,109.44966,105.20999,0.5555431
2929,83733.11,518803.5,183861.08,-39.614174
2930,86.6952,-122.093414,22.924644,-0.019026339
2931,33.771793,-413.60464,80.96149,0.42245668
2932,-105.05089,-215.15236,162.713,0.44448608
2933,-86.44483,-19.779366,119.677,0.38927442
2934,-4.72838,46.796154,102.8819,0.47520798
2935,-125.51376,-86.63592,57.93735,0.5994951
2936,-76.290146,-0.30104154,83.78563,0.5193674
2937,-69.02789,31.323135,-10.986343,0.51408976
2938,-89.30524,-251.09189,246.53323,0.22870916
2939,-160.36902,-288.1417,221.65831,0.0434708
