id,hhb,hbo2,ca,na
10000,8.083053,4.03187,8.890579,2.980683
10001,7.9955626,4.048916,8.878972,3.0002363
10002,8.018945,4.0511136,8.893665,3.001927
10003,8.078001,4.059393,8.865361,2.9707584
10004,8.290086,4.174357,8.977223,2.995294
10005,8.127363,4.068897,8.912048,2.9779837
10006,8.290353,4.165202,8.988215,2.9986086
10007,8.251897,4.131513,8.976853,2.998982
10008,8.180525,4.063553,8.92664,2.9786603
10009,8.149886,4.1195517,8.922976,2.9975514
10010,8.315945,4.1757607,8.973216,2.982682
10011,8.248414,4.128125,8.977943,2.998785
10012,8.273833,4.160775,8.989915,3.0042028
10013,8.189189,4.066579,8.929483,2.979123
10014,8.193599,4.1434236,8.953629,3.0063279
10015,8.020417,4.0411067,8.884476,2.9940872
10016,8.212183,4.0916424,8.903315,2.9638302
10017,8.241639,4.1187606,8.967382,2.99407
10018,8.08337,4.061095,8.876724,2.9739258
10019,8.010482,4.089967,8.885709,3.0081718
10020,8.079483,4.0472517,8.882964,2.9761322
10021,8.25792,4.121773,8.977189,2.9962103
10022,8.247791,4.1098228,8.968044,2.988628
10023,8.167365,4.0671577,8.888616,2.9639904
10024,8.002387,4.0447097,8.871178,2.99236
10025,8.08295,4.0599465,8.846074,2.9632936
10026,8.258729,4.1447334,8.983261,3.0021882
10027,8.2827835,4.1677637,8.987096,3.0010972
10028,7.9221215,4.096941,8.8619,3.0171404
10029,8.216752,4.110736,8.96482,2.996587
10030,8.263461,4.1236124,8.981042,2.9956305
10031,8.182974,4.082315,8.923527,2.9803786
10032,8.058951,4.0458164,8.897807,2.9906642
10033,8.268999,4.156247,8.978681,2.9979556
10034,8.2837515,4.1598406,8.977498,2.9942122
10035,8.251647,4.129071,8.986598,2.9998436
10036,8.34757,4.1921296,9.009573,2.9938579
10037,8.221757,4.1391835,8.970747,3.0058038
10038,8.2372,4.1066375,8.959915,2.9884415
10039,8.190192,4.074987,8.942387,2.9865265
10040,8.078359,4.051816,8.894495,2.987899
